 Grid points 
  state        r                 ab initio             calc.           ab initio - calc        weight

XZh11                                                                           
     1       0.480526316        244123.26            1239627.6           -995504.37        0.0000E+00
     1       0.500000000        233987.62            1085010.7           -851023.08        0.0000E+00
     1       0.519473684        223851.99            947801.63           -723949.64        0.0000E+00
     1       0.538947368        213716.35            826165.32           -612448.96        0.0000E+00
     1       0.558421053        203580.72            718454.54           -514873.82        0.0000E+00
     1       0.577894737        193445.08            623191.02           -429745.93        0.0000E+00
     1       0.597368421        183309.45            539048.31           -355738.86        0.0000E+00
     1       0.616842105        173173.81            464836.48           -291662.66        0.0000E+00
     1       0.636315789        163038.18            399488.31           -236450.13        0.0000E+00
     1       0.655789474        152902.54            342046.82           -189144.27        0.0000E+00
     1       0.675263158        142766.91            291654.12           -148887.21        0.0000E+00
     1       0.694736842        132631.28            247541.34           -114910.07        0.0000E+00
     1       0.714210526        122495.64            209019.59           -86523.955        0.0000E+00
     1       0.733684211        112360.01            175471.80           -63111.792        0.0000E+00
     1       0.753157895        102224.37            146345.39           -44121.015        0.0000E+00
     1       0.772631579        92088.736            121145.72           -29056.980        0.0000E+00
     1       0.792105263        81953.101            99430.145           -17477.044        0.0000E+00
     1       0.811578947        71817.466            80802.709           -8985.2427        0.0000E+00
     1       0.831052632        61681.831            64909.335           -3227.5042        0.0000E+00
     1       0.850526316        51546.196            51433.546            112.64999        0.0000E+00
     1       0.870000000        41410.561            40092.589            1317.9719        0.0000E+00
     1       0.871240000        40765.168            39436.706            1328.4615        0.0000E+00
     1       0.872480000        40121.612            38788.385            1333.2266        0.0000E+00
     1       0.873720000        39480.147            38147.565            1332.5826        0.0000E+00
     1       0.874960000        38840.364            37514.185            1326.1797        0.0000E+00
     1       0.876200000        38201.469            36888.185            1313.2835        0.0000E+00
     1       0.877440000        37564.238            36269.507            1294.7316        0.0000E+00
     1       0.878680000        36931.959            35658.090            1273.8688        0.0000E+00
     1       0.879920000        36308.042            35053.877            1254.1651        0.0000E+00
     1       0.881160000        35693.626            34456.809            1236.8172        0.0000E+00
     1       0.882400000        35087.575            33866.828            1220.7477        0.0000E+00
     1       0.883640000        34488.671            33283.876            1204.7942        0.0000E+00
     1       0.884880000        33895.984            32707.898            1188.0859        0.0000E+00
     1       0.886120000        33308.868            32138.836            1170.0319        0.0000E+00
     1       0.887360000        32726.706            31576.633            1150.0726        0.0000E+00
     1       0.888600000        32149.812            31021.235            1128.5767        0.0000E+00
     1       0.889840000        31579.803            30472.586            1107.2166        0.0000E+00
     1       0.891080000        31018.393            29930.631            1087.7616        0.0000E+00
     1       0.892320000        30466.741            29395.315            1071.4263        0.0000E+00
     1       0.893560000        29924.181            28866.585            1057.5964        0.0000E+00
     1       0.894800000        29389.666            28344.386            1045.2808        0.0000E+00
     1       0.896040000        28862.175            27828.665            1033.5106        0.0000E+00
     1       0.897280000        28341.168            27319.369            1021.7991        0.0000E+00
     1       0.898520000        27826.568            26816.446            1010.1219        0.0000E+00
     1       0.899760000        27318.316            26319.843            998.47294        0.0000E+00
     1       0.901000000        26816.313            25829.508            986.80503        0.0000E+00
     1       0.902240000        26320.077            25345.390            974.68674        0.0000E+00
     1       0.903480000        25828.913            24867.439            961.47457        0.0000E+00
     1       0.904720000        25342.125            24395.602            946.52264        0.0000E+00
     1       0.905960000        24859.126            23929.830            929.29561        0.0000E+00
     1       0.907200000        24380.501            23470.073            910.42806        0.0000E+00
     1       0.908440000        23907.538            23016.282            891.25671        0.0000E+00
     1       0.909680000        23441.534            22568.406            873.12783        0.0000E+00
     1       0.910920000        22983.759            22126.397            857.36221        0.0000E+00
     1       0.912160000        22534.625            21690.207            844.41790        0.0000E+00
     1       0.913400000        22093.473            21259.787            833.68669        0.0000E+00
     1       0.914640000        21659.584            20835.089            824.49472        0.0000E+00
     1       0.915880000        21232.234            20416.067            816.16739        0.0000E+00
     1       0.917120000        20810.724            20002.672            808.05193        0.0000E+00
     1       0.918360000        20394.551            19594.858            799.69285        0.0000E+00
     1       0.919600000        19983.318            19192.579            790.73860        0.0000E+00
     1       0.920840000        19576.626            18795.788            780.83781        0.0000E+00
     1       0.922080000        19174.079            18404.440            769.63905        0.0000E+00
     1       0.923320000        18775.332            18018.489            756.84258        0.0000E+00
     1       0.924560000        18380.658            17637.891            742.76730        0.0000E+00
     1       0.925800000        17990.736            17262.599            728.13660        0.0000E+00
     1       0.927040000        17606.251            16892.571            713.68065        0.0000E+00
     1       0.928280000        17227.890            16527.761            700.12906        0.0000E+00
     1       0.929520000        16856.336            16168.126            688.21025        0.0000E+00
     1       0.930760000        16491.918            15813.623            678.29501        0.0000E+00
     1       0.932000000        16134.112            15464.207            669.90480        0.0000E+00
     1       0.933240000        15782.275            15119.838            662.43707        0.0000E+00
     1       0.934480000        15435.760            14780.471            655.28917        0.0000E+00
     1       0.935720000        15093.922            14446.064            647.85792        0.0000E+00
     1       0.936960000        14756.117            14116.577            639.54022        0.0000E+00
     1       0.938200000        14421.886            13791.967            629.91930        0.0000E+00
     1       0.939440000        14091.418            13472.192            619.22605        0.0000E+00
     1       0.940680000        13765.044            13157.212            607.83127        0.0000E+00
     1       0.941920000        13443.092            12846.987            596.10496        0.0000E+00
     1       0.943160000        13125.892            12541.475            584.41721        0.0000E+00
     1       0.944400000        12813.774            12240.637            573.13773        0.0000E+00
     1       0.945640000        12507.066            11944.432            562.63392        0.0000E+00
     1       0.946880000        12205.906            11652.822            553.08388        0.0000E+00
     1       0.948120000        11910.089            11365.767            544.32165        0.0000E+00
     1       0.949360000        11619.373            11083.228            536.14446        0.0000E+00
     1       0.950600000        11333.517            10805.167            528.34954        0.0000E+00
     1       0.951840000        11052.279            10531.545            520.73355        0.0000E+00
     1       0.953080000        10775.417            10262.324            513.09309        0.0000E+00
     1       0.954320000        10502.690            9997.4663            505.22413        0.0000E+00
     1       0.955560000        10233.865            9736.9343            496.93100        0.0000E+00
     1       0.956800000        9968.8687            9480.6909            488.17778        0.0000E+00
     1       0.958040000        9707.7754            9228.6990            479.07638        0.0000E+00
     1       0.959280000        9450.6658            8980.9220            469.74375        0.0000E+00
     1       0.960520000        9197.6201            8737.3235            460.29656        0.0000E+00
     1       0.961760000        8948.7186            8497.8673            450.85127        0.0000E+00
     1       0.963000000        8704.0415            8262.5175            441.52404        0.0000E+00
     1       0.964240000        8463.6693            8031.2385            432.43076        0.0000E+00
     1       0.965480000        8227.6821            7803.9950            423.68709        0.0000E+00
     1       0.966720000        7996.1545            7580.7519            415.40261        0.0000E+00
     1       0.967960000        7769.0678            7361.4743            407.59352        0.0000E+00
     1       0.969200000        7546.3279            7146.1277            400.20024        0.0000E+00
     1       0.970440000        7327.8385            6934.6777            393.16078        0.0000E+00
     1       0.971680000        7113.5032            6727.0903            386.41289        0.0000E+00
     1       0.972920000        6903.2258            6523.3318            379.89404        0.0000E+00
     1       0.974160000        6696.9099            6323.3684            373.54150        0.0000E+00
     1       0.975400000        6494.4592            6127.1670            367.29227        0.0000E+00
     1       0.976640000        6295.7775            5934.6944            361.08308        0.0000E+00
     1       0.977880000        6100.7683            5745.9179            354.85043        0.0000E+00
     1       0.979120000        5909.3354            5560.8048            348.53058        0.0000E+00
     1       0.980360000        5721.3874            5379.3230            342.06444        0.0000E+00
     1       0.981600000        5536.8845            5201.4402            335.44429        0.0000E+00
     1       0.982840000        5355.8178            5027.1246            328.69315        0.0000E+00
     1       0.984080000        5178.1789            4856.3447            321.83423        0.0000E+00
     1       0.985320000        5003.9595            4689.0690            314.89054        0.0000E+00
     1       0.986560000        4833.1512            4525.2664            307.88480        0.0000E+00
     1       0.987800000        4665.7456            4364.9060            300.83955        0.0000E+00
     1       0.989040000        4501.7342            4207.9572            293.77705        0.0000E+00
     1       0.990280000        4341.1088            4054.3894            286.71937        0.0000E+00
     1       0.991520000        4183.8608            3904.1725            279.68832        0.0000E+00
     1       0.992760000        4029.9820            3757.2765            272.70551        0.0000E+00
     1       0.994000000        3879.4639            3613.6716            265.79233        0.0000E+00
     1       0.995240000        3732.2982            3473.3282            258.96990        0.0000E+00
     1       0.996480000        3588.4763            3336.2172            252.25918        0.0000E+00
     1       0.997720000        3447.9889            3202.3092            245.67970        0.0000E+00
     1       0.998960000        3310.8124            3071.5755            239.23692        0.0000E+00
     1       1.000200000        3176.9144            2943.9874            232.92699        0.0000E+00
     1       1.001440000        3046.2622            2819.5165            226.74570        0.0000E+00
     1       1.002680000        2918.8230            2698.1344            220.68862        0.0000E+00
     1       1.003920000        2794.5644            2579.8132            214.75113        0.0000E+00
     1       1.005160000        2673.4535            2464.5251            208.92835        0.0000E+00
     1       1.006400000        2555.4577            2352.2425            203.21524        0.0000E+00
     1       1.007640000        2440.5444            2242.9379            197.60654        0.0000E+00
     1       1.008880000        2328.6809            2136.5841            192.09675        0.0000E+00
     1       1.010120000        2219.8345            2033.1542            186.68021        0.0000E+00
     1       1.011360000        2113.9725            1932.6215            181.35104        0.0000E+00
     1       1.012600000        2011.0624            1834.9592            176.10316        0.0000E+00
     1       1.013840000        1911.0714            1740.1411            170.93026        0.0000E+00
     1       1.015080000        1813.9668            1648.1409            165.82588        0.0000E+00
     1       1.016320000        1719.7160            1558.9327            160.78333        0.0000E+00
     1       1.017560000        1628.2864            1472.4907            155.79573        0.0000E+00
     1       1.018800000        1539.6453            1388.7893            150.85601        0.0000E+00
     1       1.020040000        1453.7599            1307.8030            145.95690        0.0000E+00
     1       1.021280000        1370.5977            1229.5067            141.09095        0.0000E+00
     1       1.022520000        1290.1260            1153.8755            136.25051        0.0000E+00
     1       1.023760000        1212.3120            1080.8843            131.42774        0.0000E+00
     1       1.025000000        1137.1244            1010.5086            126.61575        0.0000E+00
     1       1.026240000        1064.5400            942.72404            121.81594        0.0000E+00
     1       1.027480000        994.53943            877.50623            117.03320        0.0000E+00
     1       1.028720000        927.10336            814.83112            112.27224        0.0000E+00
     1       1.029960000        862.21243            754.67483            107.53760        0.0000E+00
     1       1.031200000        799.84728            697.01363            102.83365        0.0000E+00
     1       1.032440000        739.98854            641.82398            98.164561        0.0000E+00
     1       1.033680000        682.61687            589.08254            93.534334        0.0000E+00
     1       1.034920000        627.71291            538.76612            88.946789        0.0000E+00
     1       1.036160000        575.25729            490.85172            84.405570        0.0000E+00
     1       1.037400000        525.23067            445.31652            79.914148        0.0000E+00
     1       1.038640000        477.61367            402.13786            75.475815        0.0000E+00
     1       1.039880000        432.38695            361.29326            71.093696        0.0000E+00
     1       1.041120000        389.53115            322.76041            66.770739        0.0000E+00
     1       1.042360000        349.02691            286.51719            62.509726        0.0000E+00
     1       1.043600000        310.85488            252.54161            58.313265        0.0000E+00
     1       1.044840000        274.99569            220.81189            54.183800        0.0000E+00
     1       1.046080000        241.42999            191.30638            50.123606        0.0000E+00
     1       1.047320000        210.13842            164.00362            46.134793        0.0000E+00
     1       1.048560000        181.10162            138.88231            42.219304        0.0000E+00
     1       1.049800000        154.30024            115.92131            38.378925        0.0000E+00
     1       1.051040000        129.71491            95.099642            34.615272        0.0000E+00
     1       1.052280000        107.32629            76.396488            30.929804        0.0000E+00
     1       1.053520000        87.115014            59.791192            27.323822        0.0000E+00
     1       1.054760000        69.061723            45.263259            23.798463        0.0000E+00
     1       1.056000000        53.147060            32.792349            20.354710        0.0000E+00
     1       1.057240000        39.351668            22.358279            16.993389        0.0000E+00
     1       1.058480000        27.656190            13.941021            13.715169        0.0000E+00
     1       1.059720000        18.041269            7.5207023            10.520567        0.0000E+00
     1       1.060960000        10.487547            3.0776032            7.4099437        0.0000E+00
     1       1.062200000        4.9756663           0.59215604            4.3835102        0.0000E+00
     1       1.063440000        1.4862698           0.44944183E-01        1.4413256        0.0000E+00
     1       1.064680000        0.0000000            1.4166973           -1.4166973        0.0000E+00
     1       1.065920000       0.49749947            4.6882687           -4.1907693        0.0000E+00
     1       1.067160000        2.9594108            9.8406257           -6.8812149        0.0000E+00
     1       1.068400000        7.3663764            16.854855           -9.4884783        0.0000E+00
     1       1.069640000        13.699039            25.712167           -12.013128        0.0000E+00
     1       1.070880000        21.938041            36.393903           -14.455862        0.0000E+00
     1       1.072120000        32.064025            48.881536           -16.817511        0.0000E+00
     1       1.073360000        44.057634            63.156679           -19.099045        0.0000E+00
     1       1.074600000        57.899510            79.201082           -21.301572        0.0000E+00
     1       1.075840000        73.570295            96.996639           -23.426344        0.0000E+00
     1       1.077080000        91.050633            116.52539           -25.474758        0.0000E+00
     1       1.078320000        110.32117            137.76952           -27.448357        0.0000E+00
     1       1.079560000        131.36254            160.71137           -29.348834        0.0000E+00
     1       1.080800000        154.15539            185.33342           -31.178031        0.0000E+00
     1       1.082040000        178.68036            211.61830           -32.937940        0.0000E+00
     1       1.083280000        204.91809            239.54880           -34.630702        0.0000E+00
     1       1.084520000        232.84924            269.10785           -36.258610        0.0000E+00
     1       1.085760000        262.45444            300.27855           -37.824110        0.0000E+00
     1       1.087000000        293.71432            333.04412           -39.329794        0.0000E+00
     1       1.088240000        326.60955            367.38795           -40.778407        0.0000E+00
     1       1.089480000        361.12075            403.29359           -42.172842        0.0000E+00
     1       1.090720000        397.22857            440.74471           -43.516139        0.0000E+00
     1       1.091960000        434.91365            479.72514           -44.811487        0.0000E+00
     1       1.093200000        474.15664            520.21886           -46.062219        0.0000E+00
     1       1.094440000        514.93818            562.21000           -47.271814        0.0000E+00
     1       1.095680000        557.23891            605.68280           -48.443893        0.0000E+00
     1       1.096920000        601.03947            650.62169           -49.582217        0.0000E+00
     1       1.098160000        646.32051            697.01120           -50.690691        0.0000E+00
     1       1.099400000        693.06267            744.83602           -51.773352        0.0000E+00
     1       1.100640000        741.24658            794.08096           -52.834378        0.0000E+00
     1       1.101880000        790.85290            844.73098           -53.878079        0.0000E+00
     1       1.103120000        841.86227            896.77117           -54.908897        0.0000E+00
